year,tmID,confID,rank,playoff,firstRound,semis,finals,min,attend,win_rate,homeWin_rate,awayWin_rate,confW_rate,Offensive_Score,Defensive_Score,Heuristic_Score,color,team_predict_mean,team_post_mean,TeamScore_mean,last_3_years_history,coaches_win_rate,coaches_post,coaches_history,coaches_history_pos
9,ATL,1,7,0,-1.0,-1.0,-1.0,6825,141379,11.76,5.88,17.65,10.0,0.5954968464308699,0.39740454258946023,0.49645069451016505,blue,75.31348214285715,0.0,74.21428571428571,37.355368204397934,11.76470588235294,0.0,11.76470588235294,0.0
10,ATL,1,2,1,0.0,-1.0,-1.0,6950,120737,52.94,70.59,35.29,45.45,0.6560443407405965,0.40360999790533714,0.5298271693229668,red,101.5343076923077,0.1330062470123357,103.68461538461538,44.73129474068355,52.94117647058824,0.0,32.35294117647059,0.0
1,CHA,1,8,0,-1.0,-1.0,-1.0,6475,90963,25.0,31.25,18.75,23.81,0.6156148330709438,0.43352299299502955,0.5245689130329867,blue,79.7806923076923,0.0,79.36153846153844,39.94305368728572,25.0,0.0,25.0,0.0
2,CHA,1,4,1,1.0,1.0,0.0,6500,105525,56.25,68.75,43.75,71.43,0.5932573777755922,0.4841537691522551,0.5387055734639237,silver,84.29443749999997,0.12237566303840632,84.58958333333335,41.253599070342176,56.25,50.0,42.1875,25.0
3,CHA,1,2,1,0.0,-1.0,-1.0,6450,106670,56.25,68.75,43.75,57.14,0.6444860317938521,0.4700817902026384,0.5572839109982453,red,73.64344230769234,0.10482109179028255,77.84807692307695,40.56995951924065,56.25,0.0,46.875,16.666666666666668
4,CHA,1,2,1,0.0,-1.0,-1.0,6850,120061,52.94,76.47,29.41,50.0,0.6117533371987703,0.4638086986354517,0.537781017917111,red,102.08574999999998,0.145218682699942,99.07272727272725,43.857359671919475,52.94117647058824,0.0,52.94117647058824,0.0
5,CHA,1,5,0,-1.0,-1.0,-1.0,6900,116383,47.06,58.82,35.29,40.0,0.5712008146152731,0.46885786163563464,0.5200293381254538,blue,72.70526785714289,0.0,72.42142857142856,41.82622117237893,47.05882352941176,0.0,50.0,0.0
6,CHA,1,6,0,-1.0,-1.0,-1.0,6945,98054,17.65,29.41,5.88,20.0,0.5709193647137918,0.44904947791496963,0.5099844213143807,blue,63.49896875,0.0,61.66718749999999,39.12152302025212,21.25,0.0,33.75,0.0
7,CHA,1,6,0,-1.0,-1.0,-1.0,6825,106942,32.35,41.18,23.53,30.0,0.5966812056293501,0.4373776560585678,0.5170294308439589,blue,99.32031249999999,0.0,97.89166666666667,38.92122098806317,32.35294117647059,0.0,31.176470588235293,0.0
7,CHI,1,7,0,-1.0,-1.0,-1.0,6800,57635,14.71,17.65,11.76,20.0,0.5876172605921205,0.4137973582080027,0.5007073094000616,blue,75.04603333333333,0.0,75.09666666666666,37.79868698803336,14.705882352941178,0.0,14.705882352941178,0.0
8,CHI,1,6,0,-1.0,-1.0,-1.0,6972,66557,41.18,35.29,47.06,30.0,0.6454258545028004,0.42157029947294905,0.5334980769878748,blue,75.8039642857143,0.0,78.66250000000001,38.69834301326365,41.17647058823529,0.0,41.17647058823529,0.0
9,CHI,1,5,0,-1.0,-1.0,-1.0,6875,62146,35.29,47.06,23.53,50.0,0.6254124184556047,0.43586088995934275,0.5306366542074737,blue,88.04801923076926,0.0,86.56923076923076,40.31553991274881,35.294117647058826,0.0,35.294117647058826,0.0
10,CHI,1,5,0,-1.0,-1.0,-1.0,6825,66852,47.06,70.59,23.53,45.45,0.6389089791623288,0.41220763487493106,0.5255583070186299,blue,101.00120833333334,0.0,97.55208333333331,44.06225119012967,47.05882352941176,0.0,41.17647058823529,0.0
1,CLE,1,2,1,1.0,0.0,-1.0,6500,137532,53.12,81.25,25.0,61.9,0.6094309124906063,0.4640875859379463,0.5367592492142763,red,80.94624999999995,0.16008665220546422,81.7096153846154,41.12318731691484,53.125,50.0,53.125,50.0
2,CLE,1,1,1,0.0,-1.0,-1.0,6425,147373,68.75,87.5,50.0,71.43,0.601946575656943,0.5205459375730161,0.5612462566149796,red,65.49324999999999,0.1088843467026137,66.34666666666668,37.28857188927783,68.75,33.33333333333333,60.9375,41.666666666666664
3,CLE,1,7,0,-1.0,-1.0,-1.0,6550,149084,31.25,25.0,37.5,33.33,0.5974616639404653,0.46699974234398745,0.5322307031422264,blue,81.53026923076922,0.0,79.00576923076923,38.1153812485038,31.25,0.0,51.041666666666664,27.777777777777775
4,CLE,1,4,1,0.0,-1.0,-1.0,6825,125793,50.0,64.71,35.29,54.17,0.6144716312923056,0.46027997609417054,0.5373758036932381,red,100.37559090909086,0.1775606940542592,100.73636363636363,41.28660871620833,50.0,33.33333333333333,50.78125,29.166666666666664
4,CON,1,3,1,1.0,0.0,-1.0,6875,102433,52.94,58.82,47.06,45.83,0.6385603915068996,0.45655059408141985,0.5475554927941597,red,93.83877272727277,0.14078551157750563,91.0681818181818,45.80786865548798,52.94117647058824,50.0,52.94117647058824,50.0
5,CON,1,1,1,1.0,1.0,0.0,6900,114017,52.94,58.82,47.06,70.0,0.6432253579647891,0.45695993746666064,0.5500926477157249,silver,91.71159090909087,0.1320716674867066,92.40227272727272,46.1420256714911,52.94117647058824,62.5,52.94117647058824,56.25
6,CON,1,1,1,1.0,1.0,1.0,6800,121944,76.47,82.35,70.59,65.0,0.6710662572883354,0.470573249934765,0.5708197536115502,gold,89.30114583333336,0.11095662878670827,91.06458333333335,46.033917628818216,76.47058823529412,62.5,60.7843137254902,58.333333333333336
7,CON,1,1,1,1.0,0.0,-1.0,6825,126096,76.47,82.35,70.59,75.0,0.6879767095354812,0.45394416939857735,0.5709604394670292,red,85.34160714285714,0.12360135590450466,88.62142857142861,45.6300262454715,76.47058823529412,60.0,64.70588235294117,58.75
8,CON,1,3,1,0.0,-1.0,-1.0,6925,135490,52.94,47.06,58.82,50.0,0.6684680101748408,0.4284739468466118,0.5484709785107262,red,88.76817307692303,0.12145435073444771,90.49807692307694,45.312389999904696,52.94117647058824,33.33333333333333,62.35294117647059,53.666666666666664
9,CON,1,2,1,0.0,-1.0,-1.0,6850,129951,61.76,76.47,47.06,65.0,0.6805439866710473,0.4388809938254766,0.559712490248262,red,94.85596153846153,0.10742804018017911,92.82307692307691,45.60362105430141,61.76470588235294,33.33333333333333,64.11764705882354,50.33333333333333
10,CON,1,6,0,-1.0,-1.0,-1.0,6975,115496,47.06,70.59,23.53,45.45,0.6819985407638033,0.4316513061490057,0.5568249234564044,blue,95.54921428571424,0.0,89.7482142857143,45.78906275401392,47.05882352941176,0.0,62.941176470588246,37.83333333333333
1,DET,1,5,0,-1.0,-1.0,-1.0,6425,107289,43.75,50.0,37.5,47.62,0.6058416326709267,0.4314521481532477,0.5186468904120872,blue,81.61680769230769,0.0,83.19423076923077,41.85643882982143,43.75,0.0,43.75,0.0
2,DET,1,7,0,-1.0,-1.0,-1.0,6550,109348,31.25,37.5,25.0,33.33,0.5807395693287098,0.4457272023717755,0.5132333858502427,blue,78.43097916666669,0.0,78.58333333333334,40.70236109470661,31.25,0.0,31.25,0.0
3,DET,1,8,0,-1.0,-1.0,-1.0,6450,94171,28.12,43.75,12.5,28.57,0.5685179189054675,0.44794578944422947,0.5082318541748485,blue,66.06711666666664,0.0,66.22833333333332,38.25766826105577,20.454545454545457,0.0,28.267045454545457,0.0
4,DET,1,1,1,1.0,1.0,1.0,6900,133647,73.53,76.47,70.59,75.0,0.6305943989975521,0.4428640201110821,0.5367292095543171,gold,92.02284615384617,0.12239818989995221,94.07307692307693,40.07382300655383,73.52941176470588,75.0,57.219251336898395,37.5
5,DET,1,3,1,0.0,-1.0,-1.0,6850,160860,50.0,47.06,52.94,55.0,0.6258808891871928,0.4402387434446048,0.5330598163158988,red,75.88468333333336,0.08537622414129448,75.37166666666668,39.54184963385367,50.0,33.33333333333333,54.81283422459893,36.11111111111111
6,DET,1,4,1,0.0,-1.0,-1.0,6925,159356,47.06,70.59,23.53,55.0,0.5699002050750581,0.4523965200417947,0.5111483625584264,red,71.92564999999998,0.08423384681506584,70.16499999999998,40.19844682969537,47.05882352941176,0.0,52.87433155080214,27.083333333333332
7,DET,1,2,1,1.0,1.0,1.0,6825,159453,67.65,82.35,52.94,70.0,0.6419872280796731,0.4504307051980029,0.546208966638838,gold,92.24530769230769,0.12285838278024518,91.88653846153846,39.83560371228638,67.64705882352942,70.0,55.82887700534759,35.666666666666664
8,DET,1,1,1,1.0,1.0,0.0,6850,165738,70.59,70.59,70.59,70.0,0.6527632345788779,0.43346220191900053,0.5431127182489393,silver,76.93028571428576,0.14042528524710593,78.22142857142855,40.3122395134022,70.58823529411765,54.54545454545454,61.76470588235295,46.57575757575758
9,DET,1,1,1,1.0,1.0,1.0,6875,162669,64.71,82.35,47.06,80.0,0.6836603611802778,0.43655304410903945,0.5601067026446587,gold,59.90260526315792,0.0915686048329493,60.62236842105263,38.72996064025868,64.70588235294117,77.77777777777779,60.0,47.13131313131313
10,DET,1,3,1,1.0,0.0,-1.0,6975,136069,52.94,64.71,41.18,50.0,0.6544690209555504,0.42003401149605984,0.5372515162258051,red,63.28916666666665,0.09899557358963128,61.47638888888889,33.66010946974824,44.08602150537634,30.0,55.75268817204301,50.23232323232323
1,HOU,0,2,1,1.0,1.0,1.0,6475,196077,84.38,87.5,81.25,80.95,0.6612402323239348,0.49388844660387615,0.5775643394639055,gold,87.90475000000005,0.10274386648556573,86.6375,43.607532169731954,84.375,100.0,84.375,100.0
2,HOU,0,4,1,0.0,-1.0,-1.0,6450,181115,59.38,68.75,50.0,61.9,0.5786942707534648,0.4930913327241382,0.5358928017388015,red,89.94681818181814,0.11489459436529968,91.39090909090908,44.78546655802795,59.375,0.0,71.875,50.0
